;;1. DADOS DO TITULAR;;;;;;;
;;preencha os dados da sua Pessoa Física abaixo;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;Nome;Sophie Priscila Hadassa Duarte;;;;;;
;;CPF;551.757.131-08;;;;;;
;;Nascimento;23/05/1994;;;;;;
;;Título de Eleitor;182277342089;;;;;;
;;Cônjuge;;;;;;;
;;Rua;Quadra Quadra 306 Conjunto 1-A, 647, Recanto das Emas, Brasília - DF;;;;;;
;;CEP;72621-302;;;;;;
;;Telefone;(61) 2950-2379;;;;;;
;;Celular;(61) 98534-5283;;;;;;
;;E-mail;sophie_duarte@ieee.org;;;;;;
;;Houve Alterações da Entrega Anterior?;NÃO;;;;;;
;;Dependente Cônjuge;NÃO;;;;;;
;;Residente Exterior;NÃO;;;;;;
